stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Leon\source\repos\JogoEmAllegro\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
dtor     D               dtor.c:196  _al_register_destructor          [   0.00136] added dtor for bitmap 0000013FD1C280A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00208] added dtor for bitmap 0000013FD1C2D1A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00575] added dtor for bitmap 0000013FD1C2EF40, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00597] added dtor for sub_bitmap 0000013FD1CBB640, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00604] added dtor for sub_bitmap 0000013FD1CBB830, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00612] added dtor for sub_bitmap 0000013FD1CBBA20, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00620] added dtor for sub_bitmap 0000013FD1CBBC10, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00633] added dtor for sub_bitmap 0000013FD1CBBE00, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00640] added dtor for sub_bitmap 0000013FD1CBBFF0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00645] added dtor for sub_bitmap 0000013FD1CBC1E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00651] added dtor for sub_bitmap 0000013FD1CBC3D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00657] added dtor for sub_bitmap 0000013FD1CBC5C0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00664] added dtor for sub_bitmap 0000013FD1CBD930, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00672] added dtor for sub_bitmap 0000013FD1CBDB20, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00680] added dtor for sub_bitmap 0000013FD1CBDD10, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00688] added dtor for sub_bitmap 0000013FD1CBDF00, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00697] added dtor for sub_bitmap 0000013FD1CBECE0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00704] added dtor for sub_bitmap 0000013FD1CBEED0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00710] added dtor for sub_bitmap 0000013FD1CBE140, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00715] added dtor for sub_bitmap 0000013FD1CBE710, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00721] added dtor for sub_bitmap 0000013FD1CBE520, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00728] added dtor for sub_bitmap 0000013FD1CBE900, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00734] added dtor for sub_bitmap 0000013FD1CBEAF0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00748] added dtor for sub_bitmap 0000013FD1CBE330, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00756] added dtor for sub_bitmap 0000013FD1CBFEE0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00763] added dtor for sub_bitmap 0000013FD1CC04B0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00770] added dtor for sub_bitmap 0000013FD1CC0A80, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00777] added dtor for sub_bitmap 0000013FD1CBF910, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00784] added dtor for sub_bitmap 0000013FD1CBFB00, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00790] added dtor for sub_bitmap 0000013FD1CBF150, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00797] added dtor for sub_bitmap 0000013FD1CC00D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00805] added dtor for sub_bitmap 0000013FD1CC06A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00812] added dtor for sub_bitmap 0000013FD1CC0890, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00819] added dtor for sub_bitmap 0000013FD1CC0C70, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00828] added dtor for sub_bitmap 0000013FD1CC0E60, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00838] added dtor for sub_bitmap 0000013FD1CBF530, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00845] added dtor for sub_bitmap 0000013FD1CBFCF0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00852] added dtor for sub_bitmap 0000013FD1CBF720, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00860] added dtor for sub_bitmap 0000013FD1CC02C0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00867] added dtor for sub_bitmap 0000013FD1CBF340, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00875] added dtor for sub_bitmap 0000013FD1CC44E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00883] added dtor for sub_bitmap 0000013FD1CC3560, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00889] added dtor for sub_bitmap 0000013FD1CC3750, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00897] added dtor for sub_bitmap 0000013FD1CC4100, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00905] added dtor for sub_bitmap 0000013FD1CC46D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00911] added dtor for sub_bitmap 0000013FD1CC48C0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00919] added dtor for sub_bitmap 0000013FD1CC4CA0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00926] added dtor for sub_bitmap 0000013FD1CC3940, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00933] added dtor for sub_bitmap 0000013FD1CC4E90, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00940] added dtor for sub_bitmap 0000013FD1CC42F0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00947] added dtor for sub_bitmap 0000013FD1CC4AB0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00953] added dtor for sub_bitmap 0000013FD1CC3180, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00959] added dtor for sub_bitmap 0000013FD1CC3370, func 00007FFC8696118B
